Division,who,with who,total time,W/L/T,Hurdles,name,start,1.dog,name.1,chng,2.dog,name.2,chng.1,3.dog,name.3,chng.2,4.dog,when,location,track,championship
4.0,Hellodogs Rebounds,WildRunners Maximini,17.32,W,17.5,Midi,0.02,4.15,Lara,0,4.14,Able,0,4.09,Negró,0,4.92,2023-10-15 12:20:50,Vodňany,4,cz
4.0,WildRunners Maximini,Hellodogs Rebounds,17.41,L,27.5,Nina,0.1,4.09,Brooke,0.4,4.21,Bree,0.2,4.06,Alex,0.19,outside,2023-10-15 12:20:50,Vodňany,5,cz
4.0,Hellodogs Rebounds,WildRunners Maximini,17.35,L,17.5,Midi,0.06,4.14,Lara,error,4.09,Able,0,4.12,Negró,0.13,4.83,2023-10-15 12:22:08,Vodňany,4,cz
4.0,WildRunners Maximini,Hellodogs Rebounds,17.6,W,27.5,Nina,0.002,4.11,Brooke,0.26,4.13,Bree,0.4,4.09,Alex,0.38,4.21,2023-10-15 12:22:08,Vodňany,5,cz
4.0,Hellodogs Rebounds,WildRunners Maximini,17.44,L,17.5,Midi,0.03,4.18,Lara,0,4.2,Able,0,4.02,Negró,0,5.01,2023-10-15 12:23:28,Vodňany,4,cz
4.0,WildRunners Maximini,Hellodogs Rebounds,17.02,W,27.5,Nina,0.1,4.06,Brooke,0,4.18,Bree,0,4.22,Alex,0.24,4.22,2023-10-15 12:23:28,Vodňany,5,cz
4.0,The Rebels Rock and Roll,Too X-treme,17.86,W,27.5,Beky,0.09,4.12,Kelsey,0,4.41,Ellie,0.25,4.22,Nyx,0.38,4.38,2023-10-15 12:27:42,Vodňany,4,cz
4.0,Too X-treme,The Rebels Rock and Roll,16.91,L,15.0,Vilík,0.16,4.03,Aranka,error,4.03,Rio,0,3.98,Ruby,0,4.71,2023-10-15 12:27:42,Vodňany,5,cz
4.0,The Rebels Rock and Roll,Too X-treme,17.37,L,27.5,Beky,0.09,4.15,Kelsey,0.21,4.26,Ellie,0.13,4.21,Nyx,0,4.32,2023-10-15 12:28:39,Vodňany,4,cz
4.0,Too X-treme,The Rebels Rock and Roll,17.28,W,15.0,Vilík,0.08,4.14,Aranka,0.24,4.01,Rio,0.17,3.94,Ruby,0,4.7,2023-10-15 12:28:39,Vodňany,5,cz
